0,0,0,0
7.53701,7.53701,2.75407,2.75407
9.64387,4.83471,3.76639,1.88497
10.731,3.58736,3.85861,1.33606
11.3624,2.84957,3.98817,1.04298
11.4521,2.32839,4.17709,0.872297
12.0312,2.05128,4.41614,0.775014
12.6006,1.8655,4.51143,0.677913
13.3436,1.80518,4.43872,0.602268
13.1266,1.62912,4.55669,0.551451
13.3657,1.49286,4.66414,0.510248
13.6736,1.39715,4.68983,0.466498
13.8929,1.30376,4.74566,0.432734
14.0042,1.21217,4.84183,0.412013
14.2474,1.15437,4.85362,0.383744
14.5367,1.1179,4.73889,0.376849
14.4008,1.05884,4.82885,0.36524
14.3234,1.00128,4.91472,0.354897
14.4148,0.951522,4.84853,0.342163
14.3161,0.908071,4.96062,0.343413
14.3423,0.864144,5.021,0.332185
14.2538,0.828669,5.02508,0.316753
14.1834,0.794944,5.03811,0.302948
14.3186,0.773014,5.08355,0.293589
14.261,0.743679,5.08811,0.281637
14.4458,0.738001,5.01783,0.279564
14.4234,0.710495,5.07702,0.275445
14.3058,0.694673,5.11896,0.268718
14.3731,0.673662,5.12634,0.259392
14.4778,0.65919,5.1472,0.251463
14.4751,0.637577,5.12534,0.244196
14.5751,0.625377,5.1181,0.236552
14.5576,0.606384,5.08762,0.231289
14.5227,0.589313,5.13607,0.229555
14.5566,0.573233,5.10154,0.225558
14.5256,0.557943,5.07428,0.220891
14.4569,0.546989,5.10857,0.217557
14.4711,0.53259,5.14217,0.214404
14.5125,0.520403,5.13186,0.209088
14.4586,0.510087,5.15019,0.204617
14.3864,0.502696,5.22795,0.214179
14.3718,0.4908,5.24093,0.20942
14.3937,0.479753,5.2271,0.204959
14.3982,0.468744,5.20665,0.201288
14.4965,0.468627,5.21291,0.196864
14.5714,0.464409,5.20315,0.192784
14.5554,0.454703,5.22035,0.18942
14.572,0.445438,5.22677,0.185543
14.5954,0.436884,5.21502,0.182096
14.5966,0.428059,5.19802,0.179225
14.5783,0.419978,5.21253,0.176274
14.5655,0.412021,5.21935,0.172985
14.5744,0.404269,5.2139,0.169777
14.6063,0.397999,5.22293,0.166848
14.6224,0.391024,5.21416,0.164021
14.5954,0.384926,5.24824,0.164632
14.6176,0.378765,5.25341,0.1618
14.649,0.373505,5.26423,0.159353
14.6651,0.367468,5.25977,0.156693
14.7378,0.368534,5.24,0.155322
14.7627,0.363298,5.25101,0.153151
14.7746,0.357589,5.26098,0.150991
14.7747,0.351868,5.2442,0.14952
14.8208,0.349381,5.24693,0.14719
14.8139,0.344033,5.26126,0.145614
14.7749,0.341017,5.26411,0.143419
14.7732,0.335893,5.23991,0.143321
14.7994,0.331954,5.24169,0.141208
14.7943,0.327148,5.24071,0.13915
14.8374,0.325308,5.21949,0.13878
14.8688,0.322228,5.21654,0.136843
14.8664,0.31773,5.22766,0.135386
14.9158,0.317212,5.22575,0.133532
14.9259,0.313059,5.21663,0.13203
14.8933,0.310574,5.23412,0.131427
14.8557,0.308754,5.23499,0.129689
14.8592,0.304738,5.23617,0.127999
14.8637,0.30084,5.23156,0.126431
14.8691,0.297055,5.22595,0.124946
14.8751,0.29338,5.23469,0.123684
14.8673,0.28984,5.24631,0.122699
14.8764,0.286429,5.24531,0.121197
14.9277,0.287574,5.23553,0.120126
14.9393,0.284365,5.239,0.118738
14.9042,0.283191,5.24636,0.117564
14.8746,0.281434,5.24489,0.116198
14.8805,0.278243,5.24531,0.114855
14.8979,0.275608,5.25004,0.113641
14.8878,0.272678,5.24715,0.112394
14.8783,0.269801,5.25288,0.111286
14.8995,0.267661,5.24303,0.110495
14.9579,0.271105,5.23963,0.10934
14.9603,0.268185,5.23631,0.10821
14.9177,0.268718,5.24459,0.107373
14.9324,0.266278,5.25139,0.106453
14.8866,0.267431,5.24577,0.105488
14.8677,0.265332,5.25022,0.10449
14.8769,0.26277,5.24183,0.103757
14.8812,0.260138,5.23896,0.102744
14.8575,0.258607,5.25315,0.102696
