778.005,885.945
724.693,809.728
665.681,746.995
632.925,687.515
613.226,650.998
585.086,624.487
561.142,601.784
539.184,578.784
518.757,554.17
500.423,531.736
491.532,515
473.784,501.905
461.646,486.722
447.091,472.444
439.514,460.294
424.498,448.829
417.372,437.696
409.492,426.563
407.476,418.821
393.259,412.211
385.367,405.431
383.934,395
382.564,389.208
374.227,386.51
373.982,382.187
369.262,378.302
367.554,375.569
365.778,371.164
358.962,369.231
358.721,364.694
355.861,361.066
355.426,359.572
352.605,357.189
352.287,355.138
352.287,353.912
350.637,353.283
350.637,354.5
349.577,353.758
349.187,351.746
345.759,351.26
345.759,350.522
345.168,347.709
345.168,347.797
339.454,347.457
337.514,344.423
337.514,342.63
335.849,339.859
335.849,338.749
332.337,338.243
331.197,335.666
327.597,334.912
325.246,332.123
324.206,328.953
323.039,327.345
322.675,326.754
322.675,325.333
321.809,324.229
321.585,324.412
321.585,323.843
321.429,323.245
321.429,323.081
321.429,325.159
321.429,323.281
321.429,323.314
313.144,322.233
312.343,321.496
310.902,317.301
308.252,315.56
306.681,314.105
306.681,313.185
306.681,309.098
306.681,307.907
306.252,308.123
306.066,307.649
306.066,307.519
305.907,306.915
303.735,308.728
302.909,306.446
300.577,306.856
300.577,305.693
300.213,303.599
300.103,302.94
300.103,300.621
300.103,301.676
300.103,301.646
300.103,302.101
300.103,301.317
300.103,301.662
300.103,301.872
300.103,301.423
300.103,301.071
300.103,302.037
299.254,302.591
299.254,301.221
299.254,300.708
299.254,300.513
299.254,301.038
299.254,300.166
299.254,300.053
299.254,300.003
299.254,301.107
299.254,301.895
299.254,299.881
299.254,300.708
299.124,301.319
299.124,300.601
299.124,300.996
299.124,300.723
299.124,300.554
297.969,299.663
297.969,299.525
297.969,299.988
297.969,300.129
297.969,298.942
297.969,299.013
297.969,299.266
297.969,299.916
297.969,299.642
297.969,299.006
297.969,299.198
297.969,299.107
297.969,300.168
297.969,300.039
292.76,299.388
292.76,298.452
292.76,296.092
292.76,294.233
292.76,294.501
292.76,294.388
292.528,294.284
292.528,293.432
292.528,293.99
292.528,294.315
292.528,293.896
292.528,292.925
292.528,293.345
292.528,293.337
291.173,293.596
290.185,295.646
290.185,293.942
290.185,291.952
290.185,291.84
289.368,291.207
289.368,291.141
289.368,291.161
289.368,291.009
289.368,290.992
289.368,291.455
289.368,291.367
289.368,291.812
289.368,290.649
289.368,290.399
289.368,290.579
289.368,291.284
289.368,290.483
289.368,290.647
289.368,290.042
289.368,290.248
289.368,290.556
289.368,291.295
289.368,290.36
288.906,290.918
288.741,291.251
288.741,290.425
288.741,289.806
288.741,289.398
288.741,290.216
288.741,290.735
288.741,289.838
288.741,289.513
288.741,289.654
288.741,290.298
288.741,290.156
288.741,289.92
288.741,290.711
288.741,290.39
288.741,290.202
288.741,290.388
